Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,25393.00,25384.25,3/17/2026 9:59:00 AM,3/17/2026 9:59:00 AM,ORB_Long,Stop loss,($384.00),($384.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
2,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,25372.75,25364.00,3/17/2026 10:13:00 AM,3/17/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),($768.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
3,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,23854.00,23845.25,3/31/2026 10:06:00 AM,3/31/2026 10:06:00 AM,ORB_Long,Stop loss,($384.00),($1152.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
4,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,23826.25,23817.50,3/31/2026 10:13:00 AM,3/31/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),($1536.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
5,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,25615.75,25607.00,4/13/2026 10:13:00 AM,4/13/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),($1920.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
6,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,28089.25,28080.50,5/1/2026 9:59:00 AM,5/1/2026 9:59:00 AM,ORB_Long,Stop loss,($384.00),($2304.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
7,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,28142.00,28177.00,5/1/2026 10:06:00 AM,5/1/2026 10:06:00 AM,ORB_Long,Profit target,$1366.00,($938.00),$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
8,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,28404.75,28396.00,5/5/2026 9:59:00 AM,5/5/2026 9:59:00 AM,ORB_Long,Stop loss,($384.00),($1322.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
9,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29365.25,29400.25,5/8/2026 10:06:00 AM,5/8/2026 10:06:00 AM,ORB_Long,Profit target,$1366.00,$44.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
10,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29415.50,29406.75,5/8/2026 10:13:00 AM,5/8/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),($340.00),$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
11,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30276.00,30311.00,5/26/2026 10:13:00 AM,5/26/2026 10:20:00 AM,ORB_Long,Profit target,$1366.00,$1026.00,$34.00,$0.00,$0.00,$0.00,$0.00,$140.00,$1400.00,$34.00,2,
12,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30787.00,30822.00,5/29/2026 9:59:00 AM,5/29/2026 10:06:00 AM,ORB_Long,Profit target,$1366.00,$2392.00,$34.00,$0.00,$0.00,$0.00,$0.00,$170.00,$1400.00,$34.00,2,
13,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30802.25,30793.50,5/29/2026 10:13:00 AM,5/29/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),$2008.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
14,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30790.75,30782.00,6/15/2026 9:59:00 AM,6/15/2026 9:59:00 AM,ORB_Long,Stop loss,($384.00),$1624.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
15,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30727.50,30762.50,6/15/2026 10:06:00 AM,6/15/2026 10:06:00 AM,ORB_Long,Profit target,$1366.00,$2990.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
16,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30741.50,30732.75,6/15/2026 10:13:00 AM,6/15/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),$2606.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
17,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29785.00,29820.00,6/29/2026 9:52:00 AM,6/29/2026 9:52:00 AM,ORB_Long,Profit target,$1366.00,$3972.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
18,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30285.50,30276.75,6/30/2026 9:59:00 AM,6/30/2026 9:59:00 AM,ORB_Long,Stop loss,($384.00),$3588.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
19,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,30365.00,30356.25,6/30/2026 10:13:00 AM,6/30/2026 10:13:00 AM,ORB_Long,Stop loss,($384.00),$3204.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
20,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29349.00,29384.00,7/8/2026 9:52:00 AM,7/8/2026 9:52:00 AM,ORB_Long,Profit target,$1366.00,$4570.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
21,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29890.50,29925.50,7/9/2026 9:59:00 AM,7/9/2026 9:59:00 AM,ORB_Long,Profit target,$1366.00,$5936.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
22,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29921.50,29912.75,7/9/2026 10:06:00 AM,7/9/2026 10:06:00 AM,ORB_Long,Stop loss,($384.00),$5552.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
23,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,29184.00,29219.00,7/22/2026 9:59:00 AM,7/22/2026 9:59:00 AM,ORB_Long,Profit target,$1366.00,$6918.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$34.00,1,
24,MNQ 09-26,Backtest,FluxTrade_Cerberus,Long,20,28093.25,28084.50,7/30/2026 9:59:00 AM,7/30/2026 9:59:00 AM,ORB_Long,Stop loss,($384.00),$6534.00,$34.00,$0.00,$0.00,$0.00,$0.00,$350.00,$0.00,$384.00,1,
