Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29354.50,29372.00,5/8/2026 9:55:00 AM,5/8/2026 9:56:00 AM,ORB_Long,Profit target,$666.00,$666.00,$34.00,$0.00,$0.00,$0.00,$0.00,$340.00,$700.00,$34.00,2,
2,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29351.50,29369.00,5/8/2026 9:58:00 AM,5/8/2026 10:00:00 AM,ORB_Long,Profit target,$666.00,$1332.00,$34.00,$0.00,$0.00,$0.00,$0.00,$410.00,$700.00,$34.00,3,
3,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,30914.75,30897.25,6/3/2026 9:55:00 AM,6/3/2026 9:55:00 AM,ORB_Short,Profit target,$666.00,$1998.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
4,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,30868.50,30878.25,6/3/2026 9:56:00 AM,6/3/2026 9:56:00 AM,ORB_Short,Stop loss,($424.00),$1574.00,$34.00,$0.00,$0.00,$0.00,$0.00,$390.00,$0.00,$424.00,1,
5,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,30883.50,30866.00,6/3/2026 9:57:00 AM,6/3/2026 9:57:00 AM,ORB_Short,Profit target,$666.00,$2240.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
6,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,30863.50,30846.00,6/3/2026 9:58:00 AM,6/3/2026 9:59:00 AM,ORB_Short,Profit target,$666.00,$2906.00,$34.00,$0.00,$0.00,$0.00,$0.00,$280.00,$700.00,$34.00,2,
7,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,30068.75,30058.75,6/9/2026 9:55:00 AM,6/9/2026 9:55:00 AM,ORB_Long,Stop loss,($434.00),$2472.00,$34.00,$0.00,$0.00,$0.00,$0.00,$400.00,$0.00,$434.00,1,
8,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29264.25,29281.75,6/11/2026 9:56:00 AM,6/11/2026 9:56:00 AM,ORB_Long,Profit target,$666.00,$3138.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
9,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29300.75,29291.25,6/11/2026 9:57:00 AM,6/11/2026 9:57:00 AM,ORB_Long,Stop loss,($414.00),$2724.00,$34.00,$0.00,$0.00,$0.00,$0.00,$380.00,$0.00,$414.00,1,
10,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29263.25,29253.75,6/11/2026 9:58:00 AM,6/11/2026 9:58:00 AM,ORB_Long,Stop loss,($414.00),$2310.00,$34.00,$0.00,$0.00,$0.00,$0.00,$380.00,$0.00,$414.00,1,
11,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,30763.25,30780.75,6/15/2026 9:56:00 AM,6/15/2026 9:56:00 AM,ORB_Long,Profit target,$666.00,$2976.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
12,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,29395.50,29378.00,6/25/2026 9:58:00 AM,6/25/2026 9:58:00 AM,ORB_Short,Profit target,$666.00,$3642.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
13,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29556.50,29574.00,6/26/2026 10:09:00 AM,6/26/2026 10:09:00 AM,ORB_Long,Profit target,$666.00,$4308.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
14,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,29499.75,29482.25,6/29/2026 10:08:00 AM,6/29/2026 10:08:00 AM,ORB_Short,Profit target,$666.00,$4974.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
15,MNQ SEP26,Backtest,FluxTrade_Cerberus,Short,20,29498.25,29508.00,6/29/2026 10:11:00 AM,6/29/2026 10:11:00 AM,ORB_Short,Stop loss,($424.00),$4550.00,$34.00,$0.00,$0.00,$0.00,$0.00,$390.00,$0.00,$424.00,1,
16,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,28809.50,28827.00,7/17/2026 10:11:00 AM,7/17/2026 10:11:00 AM,ORB_Long,Profit target,$666.00,$5216.00,$34.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$34.00,1,
17,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29259.75,29249.75,7/22/2026 10:04:00 AM,7/22/2026 10:04:00 AM,ORB_Long,Stop loss,($434.00),$4782.00,$34.00,$0.00,$0.00,$0.00,$0.00,$400.00,$0.00,$434.00,1,
18,MNQ SEP26,Backtest,FluxTrade_Cerberus,Long,20,29243.00,29260.50,7/22/2026 10:05:00 AM,7/22/2026 10:06:00 AM,ORB_Long,Profit target,$666.00,$5448.00,$34.00,$0.00,$0.00,$0.00,$0.00,$120.00,$700.00,$34.00,2,
