Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,25839.75,25830.00,2/26/2026 9:31:47 AM,2/26/2026 9:31:51 AM,LongABC,Stop loss,($856.00),($856.00),$76.00,$0.00,$0.00,$0.00,$0.00,$780.00,$480.00,$1336.00,8,
2,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,25594.00,25594.00,3/5/2026 9:50:07 AM,3/5/2026 9:50:08 AM,ShortABC,Stop loss,($76.00),($932.00),$76.00,$0.00,$0.00,$0.00,$0.00,$40.00,$180.00,$256.00,2,
3,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,25590.00,25604.00,3/5/2026 9:50:09 AM,3/5/2026 9:50:23 AM,ShortABC,Stop loss,($1196.00),($2128.00),$76.00,$0.00,$0.00,$0.00,$0.00,$1120.00,$40.00,$1236.00,7,
4,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,26040.50,26040.50,4/14/2026 9:43:47 AM,4/14/2026 9:44:54 AM,LongABC,Stop loss,($76.00),($2204.00),$76.00,$0.00,$0.00,$0.00,$0.00,$280.00,$920.00,$996.00,15,
5,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29649.25,29649.25,5/11/2026 9:51:11 AM,5/11/2026 9:51:23 AM,ShortABC,Stop loss,($76.00),($2280.00),$76.00,$0.00,$0.00,$0.00,$0.00,$20.00,$620.00,$696.00,5,
6,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29514.75,29499.75,5/13/2026 9:36:08 AM,5/13/2026 9:36:12 AM,ShortABC,Profit target,$1124.00,($1156.00),$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1200.00,$76.00,9,
7,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29861.50,29861.50,5/14/2026 9:59:19 AM,5/14/2026 9:59:21 AM,ShortABC,Stop loss,($76.00),($1232.00),$76.00,$0.00,$0.00,$0.00,$0.00,$100.00,$280.00,$356.00,3,
8,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29856.50,29841.50,5/14/2026 9:59:30 AM,5/14/2026 9:59:40 AM,ShortABC,Profit target,$1124.00,($108.00),$76.00,$0.00,$0.00,$0.00,$0.00,$40.00,$1200.00,$76.00,11,
9,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,30227.25,30212.25,5/26/2026 9:53:44 AM,5/26/2026 9:53:51 AM,ShortABC,Profit target,$1124.00,$1016.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1200.00,$76.00,7,
10,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29940.25,29940.50,6/9/2026 9:34:13 AM,6/9/2026 9:34:14 AM,ShortABC,Stop loss,($96.00),$920.00,$76.00,$0.00,$0.00,$0.00,$0.00,$40.00,$380.00,$476.00,3,
11,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29222.75,29237.75,6/10/2026 9:30:13 AM,6/10/2026 9:30:16 AM,LongABC,Profit target,$1124.00,$2044.00,$76.00,$0.00,$0.00,$0.00,$0.00,$380.00,$1200.00,$76.00,9,
12,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29688.25,29673.25,6/12/2026 9:30:05 AM,6/12/2026 9:30:05 AM,ShortABC,Profit target,$1124.00,$3168.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1200.00,$76.00,2,
13,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,30870.25,30855.25,6/22/2026 9:41:38 AM,6/22/2026 9:41:48 AM,ShortABC,Profit target,$1124.00,$4292.00,$76.00,$0.00,$0.00,$0.00,$0.00,$200.00,$1200.00,$76.00,9,
14,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29242.00,29227.00,6/26/2026 9:33:22 AM,6/26/2026 9:33:24 AM,ShortABC,Profit target,$1124.00,$5416.00,$76.00,$0.00,$0.00,$0.00,$0.00,$120.00,$1200.00,$76.00,10,
