Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,30290.25,30290.25,5/28/2026 9:37:16 AM,5/28/2026 9:37:16 AM,ShortABC,Stop loss,($76.00),($76.00),$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$76.00,2,
2,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,30559.75,30559.75,6/4/2026 9:30:00 AM,6/4/2026 9:30:00 AM,ShortABC,Stop loss,($76.00),($152.00),$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$76.00,2,
3,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,30543.00,30564.00,6/4/2026 9:47:30 AM,6/4/2026 9:48:10 AM,LongABC,Stop loss,$1604.00,$1452.00,$76.00,$0.00,$0.00,$0.00,$0.00,$40.00,$2480.00,$876.00,23,
4,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29138.25,29158.00,6/10/2026 9:35:32 AM,6/10/2026 9:35:39 AM,LongABC,Stop loss,$1504.00,$2956.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2380.00,$876.00,20,
5,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29058.50,29048.75,6/11/2026 9:30:33 AM,6/11/2026 9:30:36 AM,LongABC,Stop loss,($856.00),$2100.00,$76.00,$0.00,$0.00,$0.00,$0.00,$780.00,$60.00,$916.00,4,
6,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29706.25,29754.25,6/24/2026 9:32:20 AM,6/24/2026 9:32:35 AM,LongABC,Stop loss,$3764.00,$5864.00,$76.00,$0.00,$0.00,$0.00,$0.00,$200.00,$4700.00,$936.00,37,
7,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,29799.50,29770.00,6/25/2026 9:43:26 AM,6/25/2026 9:43:50 AM,ShortABC,Stop loss,$2284.00,$8148.00,$76.00,$0.00,$0.00,$0.00,$0.00,$640.00,$3320.00,$1036.00,40,
8,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,30136.00,30135.25,7/1/2026 9:36:25 AM,7/1/2026 9:36:27 AM,LongABC,Stop loss,($136.00),$8012.00,$76.00,$0.00,$0.00,$0.00,$0.00,$60.00,$540.00,$676.00,4,
9,MNQ 09-26,Backtest,FluxTrade_Hydra,Short,40,30111.75,30081.00,7/2/2026 9:38:07 AM,7/2/2026 9:38:15 AM,ShortABC,Stop loss,$2384.00,$10396.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3300.00,$916.00,25,
10,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29342.50,29349.75,7/8/2026 9:51:06 AM,7/8/2026 9:51:15 AM,LongABC,Stop loss,$504.00,$10900.00,$76.00,$0.00,$0.00,$0.00,$0.00,$560.00,$1380.00,$876.00,11,
11,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29447.25,29462.75,7/16/2026 9:37:06 AM,7/16/2026 9:37:14 AM,LongABC,Stop loss,$1164.00,$12064.00,$76.00,$0.00,$0.00,$0.00,$0.00,$20.00,$2040.00,$876.00,18,
12,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,27898.25,27898.25,7/29/2026 9:32:46 AM,7/29/2026 9:32:48 AM,LongABC,Stop loss,($76.00),$11988.00,$76.00,$0.00,$0.00,$0.00,$0.00,$40.00,$780.00,$856.00,7,
13,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,27938.50,27940.25,7/29/2026 9:33:27 AM,7/29/2026 9:33:32 AM,LongABC,Stop loss,$64.00,$12052.00,$76.00,$0.00,$0.00,$0.00,$0.00,$160.00,$940.00,$876.00,8,
14,MNQ 09-26,Backtest,FluxTrade_Hydra,Long,40,29241.75,29267.75,8/26/2026 9:31:45 AM,8/26/2026 9:32:48 AM,LongABC,Stop loss,$2004.00,$14056.00,$76.00,$0.00,$0.00,$0.00,$0.00,$300.00,$3140.00,$1136.00,52,
