Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,27125.00,27133.75,4/17/2026 11:51:00 AM,4/17/2026 11:51:00 AM,FluxLong,Profit target,$624.00,$624.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$76.00,1,
2,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,27310.25,27310.25,4/22/2026 2:19:00 PM,4/22/2026 2:21:00 PM,FluxLong,Stop loss,($76.00),$548.00,$76.00,$0.00,$0.00,$0.00,$0.00,$140.00,$560.00,$636.00,3,
3,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,27656.25,27665.00,4/24/2026 11:47:00 AM,4/24/2026 11:47:00 AM,FluxLong,Profit target,$624.00,$1172.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$76.00,1,
4,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,27740.50,27740.50,4/27/2026 3:52:00 PM,4/27/2026 3:53:00 PM,FluxLong,Stop loss,($76.00),$1096.00,$76.00,$0.00,$0.00,$0.00,$0.00,$260.00,$580.00,$656.00,2,
5,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,27532.50,27541.25,4/29/2026 1:51:00 PM,4/29/2026 1:51:00 PM,FluxLong,Profit target,$624.00,$1720.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$76.00,1,
6,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,27869.50,27878.25,4/30/2026 2:02:00 PM,4/30/2026 2:03:00 PM,FluxLong,Profit target,$624.00,$2344.00,$76.00,$0.00,$0.00,$0.00,$0.00,$640.00,$700.00,$76.00,2,
7,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,28169.25,28178.00,5/1/2026 11:52:00 AM,5/1/2026 11:52:00 AM,FluxLong,Profit target,$624.00,$2968.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$76.00,1,
8,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,28408.25,28408.25,5/5/2026 12:30:00 PM,5/5/2026 12:31:00 PM,FluxLong,Stop loss,($76.00),$2892.00,$76.00,$0.00,$0.00,$0.00,$0.00,$340.00,$420.00,$496.00,2,
9,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,28853.25,28862.00,5/6/2026 11:46:00 AM,5/6/2026 11:46:00 AM,FluxLong,Profit target,$624.00,$3516.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$76.00,1,
10,MNQ SEP26,Backtest,FluxTrade_Ignition,Long,40,29149.75,29158.50,5/7/2026 11:08:00 AM,5/7/2026 11:08:00 AM,FluxLong,Profit target,$624.00,$4140.00,$76.00,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$76.00,1,
