Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,26396.75,26381.75,1/15/2026 9:58:02 AM,1/15/2026 9:58:21 AM,LongKraken,Stop loss,($478.50),($478.50),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$75.00,$553.50,7,
2,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25806.25,25806.25,2/10/2026 9:45:59 AM,2/10/2026 9:47:13 AM,LongKraken,Stop loss,($28.50),($507.00),$28.50,$0.00,$0.00,$0.00,$0.00,$232.50,$562.50,$591.00,35,
3,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25894.00,25894.00,2/11/2026 9:47:51 AM,2/11/2026 9:49:18 AM,LongKraken,Stop loss,($28.50),($535.50),$28.50,$0.00,$0.00,$0.00,$0.00,$120.00,$877.50,$906.00,47,
4,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,25025.50,25025.50,2/17/2026 9:58:02 AM,2/17/2026 9:58:24 AM,ShortKraken,Stop loss,($28.50),($564.00),$28.50,$0.00,$0.00,$0.00,$0.00,$120.00,$412.50,$441.00,13,
5,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,25404.50,25407.25,2/20/2026 9:59:59 AM,2/20/2026 10:00:00 AM,ShortKraken,Stop loss,($111.00),($675.00),$28.50,$0.00,$0.00,$0.00,$0.00,$405.00,$195.00,$306.00,23,
6,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25423.25,25408.25,2/24/2026 9:54:45 AM,2/24/2026 9:55:16 AM,LongKraken,Stop loss,($478.50),($1153.50),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$150.00,$628.50,14,
7,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,25375.50,25390.50,2/27/2026 9:45:43 AM,2/27/2026 9:46:14 AM,ShortKrakenReverse,Stop loss,($478.50),($1632.00),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$352.50,$831.00,21,
8,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25411.75,25396.75,2/27/2026 9:52:43 AM,2/27/2026 9:53:05 AM,LongKraken,Stop loss,($478.50),($2110.50),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$52.50,$531.00,8,
9,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25636.75,25636.75,3/5/2026 9:54:27 AM,3/5/2026 9:55:37 AM,LongKraken,Stop loss,($28.50),($2139.00),$28.50,$0.00,$0.00,$0.00,$0.00,$15.00,$720.00,$748.50,33,
10,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,24886.00,24885.75,3/9/2026 9:47:33 AM,3/9/2026 9:49:35 AM,LongKraken,Stop loss,($36.00),($2175.00),$28.50,$0.00,$0.00,$0.00,$0.00,$90.00,$1087.50,$1123.50,71,
11,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25559.25,25544.25,3/11/2026 9:50:20 AM,3/11/2026 9:50:41 AM,LongKraken,Stop loss,($478.50),($2653.50),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$105.00,$583.50,10,
12,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,25250.75,25265.75,3/13/2026 9:51:38 AM,3/13/2026 9:52:22 AM,ShortKraken,Stop loss,($478.50),($3132.00),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$97.50,$576.00,9,
13,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,15,25195.50,25180.50,3/16/2026 9:39:58 AM,3/16/2026 9:40:03 AM,LongKraken,Stop loss,($478.50),($3610.50),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$15.00,$493.50,6,
14,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,25258.25,25273.25,3/18/2026 9:39:49 AM,3/18/2026 9:40:51 AM,ShortKraken,Stop loss,($478.50),($4089.00),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$165.00,$643.50,15,
15,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,24410.75,24410.75,4/1/2026 9:52:03 AM,4/1/2026 9:52:43 AM,ShortKrakenReverse,Stop loss,($28.50),($4117.50),$28.50,$0.00,$0.00,$0.00,$0.00,$67.50,$697.50,$726.00,21,
16,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,15,24660.25,24675.25,4/6/2026 9:50:19 AM,4/6/2026 9:50:50 AM,ShortKraken,Stop loss,($478.50),($4596.00),$28.50,$0.00,$0.00,$0.00,$0.00,$450.00,$262.50,$741.00,14,
