Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,10,30227.75,30295.25,5/28/2026 9:52:00 AM,5/28/2026 10:02:00 AM,LongKrakenReverse,Profit target,$1331.00,$1331.00,$19.00,$0.00,$0.00,$0.00,$0.00,$235.00,$1350.00,$19.00,6,
2,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,30087.50,30102.50,6/9/2026 9:54:00 AM,6/9/2026 9:54:00 AM,ShortKraken,Stop loss,($319.00),$1012.00,$19.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$319.00,1,
3,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29440.25,29372.75,6/10/2026 9:52:00 AM,6/10/2026 9:52:00 AM,ShortKrakenReverse,Profit target,$1331.00,$2343.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$19.00,1,
4,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,10,29316.25,29383.75,6/25/2026 10:02:00 AM,6/25/2026 10:02:00 AM,LongKrakenReverse,Profit target,$1331.00,$3674.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$19.00,1,
5,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,30365.75,30298.25,6/30/2026 10:02:00 AM,6/30/2026 10:02:00 AM,ShortKrakenReverse,Profit target,$1331.00,$5005.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$19.00,1,
6,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29384.50,29317.00,7/8/2026 9:48:00 AM,7/8/2026 9:50:00 AM,ShortKrakenReverse,Profit target,$1331.00,$6336.00,$19.00,$0.00,$0.00,$0.00,$0.00,$290.00,$1350.00,$19.00,2,
7,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29844.00,29859.00,7/9/2026 9:52:00 AM,7/9/2026 9:52:00 AM,ShortKraken,Stop loss,($319.00),$6017.00,$19.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$319.00,1,
8,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,10,29823.25,29890.75,7/15/2026 10:02:00 AM,7/15/2026 10:10:00 AM,LongKraken,Profit target,$1331.00,$7348.00,$19.00,$0.00,$0.00,$0.00,$0.00,$10.00,$1350.00,$19.00,5,
9,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,10,28523.50,28591.00,7/17/2026 9:54:00 AM,7/17/2026 9:54:00 AM,LongKraken,Profit target,$1331.00,$8679.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$19.00,1,
10,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29143.25,29075.75,7/20/2026 9:50:00 AM,7/20/2026 9:52:00 AM,ShortKraken,Profit target,$1331.00,$10010.00,$19.00,$0.00,$0.00,$0.00,$0.00,$120.00,$1350.00,$19.00,2,
11,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,10,28435.50,28503.00,7/27/2026 9:50:00 AM,7/27/2026 9:54:00 AM,LongKrakenReverse,Profit target,$1331.00,$11341.00,$19.00,$0.00,$0.00,$0.00,$0.00,$270.00,$1350.00,$19.00,3,
12,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,28065.00,28080.00,7/30/2026 9:52:00 AM,7/30/2026 9:52:00 AM,ShortKrakenReverse,Stop loss,($319.00),$11022.00,$19.00,$0.00,$0.00,$0.00,$0.00,$300.00,$0.00,$319.00,1,
13,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29486.50,29501.50,8/4/2026 9:54:00 AM,8/4/2026 9:56:00 AM,ShortKrakenReverse,Stop loss,($319.00),$10703.00,$19.00,$0.00,$0.00,$0.00,$0.00,$300.00,$255.00,$574.00,2,
14,MNQ 09-26,Backtest,FluxTrade_Kraken,Long,10,29513.50,29513.50,8/6/2026 9:50:00 AM,8/6/2026 9:52:00 AM,LongKraken,Stop loss,($19.00),$10684.00,$19.00,$0.00,$0.00,$0.00,$0.00,$170.00,$415.00,$434.00,2,
15,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29583.25,29515.75,8/19/2026 9:50:00 AM,8/19/2026 9:50:00 AM,ShortKraken,Profit target,$1331.00,$12015.00,$19.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1350.00,$19.00,1,
16,MNQ 09-26,Backtest,FluxTrade_Kraken,Short,10,29658.00,29673.00,8/28/2026 9:52:00 AM,8/28/2026 10:02:00 AM,ShortKraken,Stop loss,($319.00),$11696.00,$19.00,$0.00,$0.00,$0.00,$0.00,$300.00,$1100.00,$1419.00,6,
