Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MNQ SEP26,Backtest,FluxTrade_ORMS,Short,40,27068.50,27051.00,4/21/2026 9:32:00 AM,4/21/2026 9:32:00 AM,Short Breakdown,Profit target,$1332.00,$1332.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
2,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,27500.25,27517.75,4/28/2026 9:43:00 AM,4/28/2026 9:43:00 AM,Long Breakout,Profit target,$1332.00,$2664.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
3,MNQ SEP26,Backtest,FluxTrade_ORMS,Short,40,27450.00,27432.50,4/29/2026 9:32:00 AM,4/29/2026 9:32:00 AM,Short Breakdown,Profit target,$1332.00,$3996.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
4,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,27961.25,27978.75,5/1/2026 9:32:00 AM,5/1/2026 9:32:00 AM,Long Breakout,Profit target,$1332.00,$5328.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
5,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,28371.50,28364.00,5/5/2026 9:43:00 AM,5/5/2026 9:43:00 AM,Long Breakout,Stop loss,($668.00),$4660.00,$68.00,$0.00,$0.00,$0.00,$0.00,$600.00,$0.00,$668.00,1,
6,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,29638.75,29656.25,5/11/2026 9:32:00 AM,5/11/2026 9:32:00 AM,Long Breakout,Profit target,$1332.00,$5992.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
7,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,29913.75,29931.25,5/22/2026 9:32:00 AM,5/22/2026 9:32:00 AM,Long Breakout,Profit target,$1332.00,$7324.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
8,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,30250.25,30267.75,5/25/2026 9:36:00 AM,5/25/2026 9:41:00 AM,Long Breakout,Profit target,$1332.00,$8656.00,$68.00,$0.00,$0.00,$0.00,$0.00,$40.00,$1400.00,$68.00,6,
9,MNQ SEP26,Backtest,FluxTrade_ORMS,Short,40,29909.75,29914.50,7/3/2026 9:40:00 AM,7/3/2026 9:41:00 AM,Short Breakdown,Stop loss,($448.00),$8208.00,$68.00,$0.00,$0.00,$0.00,$0.00,$480.00,$520.00,$968.00,2,
10,MNQ SEP26,Backtest,FluxTrade_ORMS,Long,40,29875.50,29893.00,7/10/2026 9:32:00 AM,7/10/2026 9:32:00 AM,Long Breakout,Profit target,$1332.00,$9540.00,$68.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1400.00,$68.00,1,
